t,target_x,target_y,target_theta,pos_x,pos_y,pos_theta,pos_w0,pos_w1,pos_w2,target_vx,target_vy,target_vtheta
0.380000,-0.020980,-0.027192,0.022285,-0.007895,-0.012455,0.013552,5.923166,-1.566763,-5.017886,-0.138450,-0.157774,0.089576
0.390000,-0.022093,-0.028627,0.023480,-0.008560,-0.013422,0.014274,6.055322,-1.627667,-5.160848,-0.141984,-0.161724,0.099287
0.400000,-0.023233,-0.030097,0.024705,-0.009181,-0.014407,0.015234,6.248908,-1.696834,-5.322390,-0.146728,-0.166744,0.104314
0.410000,-0.024400,-0.031600,0.025960,-0.009816,-0.015443,0.016493,6.469792,-1.779623,-5.482230,-0.152190,-0.171930,0.107258
0.420000,-0.025593,-0.033137,0.027244,-0.010476,-0.016593,0.017997,6.698494,-1.864379,-5.628038,-0.157776,-0.176937,0.107510
0.430000,-0.026813,-0.034707,0.028558,-0.011266,-0.017878,0.018948,6.920579,-1.958283,-5.742195,-0.163369,-0.181142,0.105611
0.440000,-0.028059,-0.036310,0.029901,-0.012094,-0.019223,0.019660,7.083477,-2.050377,-5.841919,-0.167924,-0.184315,0.109528
0.450000,-0.029330,-0.037946,0.031274,-0.012970,-0.020626,0.020474,7.231845,-2.148234,-5.941253,-0.172359,-0.187224,0.116139
0.460000,-0.030628,-0.039614,0.032675,-0.013903,-0.022043,0.021068,7.372752,-2.243273,-6.030495,-0.176584,-0.189885,0.122013
0.470000,-0.031952,-0.041315,0.034106,-0.014927,-0.023500,0.021702,7.501172,-2.331638,-6.132329,-0.180482,-0.192715,0.130379
0.480000,-0.033301,-0.043048,0.035566,-0.015952,-0.024989,0.022331,7.611977,-2.403755,-6.232004,-0.183735,-0.195482,0.138637
0.490000,-0.034675,-0.044813,0.037054,-0.016971,-0.026536,0.023046,7.728067,-2.483561,-6.331747,-0.187230,-0.198233,0.147230
0.500000,-0.036075,-0.046609,0.038571,-0.018028,-0.028115,0.023753,7.849959,-2.575064,-6.421397,-0.191039,-0.200731,0.155255
0.510000,-0.037500,-0.048438,0.040117,-0.019180,-0.029721,0.024249,7.967537,-2.664275,-6.511695,-0.194722,-0.203221,0.163642
0.520000,-0.038950,-0.050297,0.041692,-0.020402,-0.031345,0.024552,8.060879,-2.738051,-6.610893,-0.197699,-0.205754,0.174426
0.530000,-0.040425,-0.052187,0.043294,-0.021676,-0.033036,0.025124,8.138906,-2.801702,-6.721252,-0.200232,-0.208425,0.187423
0.540000,-0.041924,-0.054108,0.044926,-0.022921,-0.034777,0.026117,8.209995,-2.859595,-6.812650,-0.202479,-0.210723,0.198013
0.550000,-0.043448,-0.056060,0.046585,-0.024160,-0.036550,0.027142,8.303065,-2.929252,-6.885261,-0.205274,-0.212830,0.204675
0.560000,-0.044997,-0.058042,0.048272,-0.025412,-0.038316,0.028274,8.403975,-3.007612,-6.956768,-0.208370,-0.214925,0.211305
0.570000,-0.046570,-0.060054,0.049988,-0.026726,-0.040107,0.029405,8.515814,-3.082753,-7.036579,-0.211573,-0.217385,0.217143
0.580000,-0.048166,-0.062097,0.051731,-0.028056,-0.041956,0.030747,8.618101,-3.148054,-7.118745,-0.214406,-0.219897,0.223261
0.590000,-0.049787,-0.064168,0.053502,-0.029413,-0.043864,0.031758,8.722634,-3.217076,-7.185987,-0.217310,-0.222125,0.227558
0.600000,-0.051432,-0.066270,0.055301,-0.030724,-0.045827,0.033103,8.812040,-3.295615,-7.255010,-0.220183,-0.224058,0.235433
0.610000,-0.053100,-0.068400,0.057128,-0.032123,-0.047727,0.034265,8.923925,-3.392668,-7.305378,-0.223759,-0.225735,0.240246
0.620000,-0.054792,-0.070559,0.058981,-0.033536,-0.049660,0.035360,9.028191,-3.462559,-7.390850,-0.226686,-0.228329,0.247165
0.630000,-0.056507,-0.072748,0.060863,-0.034967,-0.051663,0.036990,9.131545,-3.537607,-7.477217,-0.229704,-0.230872,0.255027
0.640000,-0.058245,-0.074964,0.062771,-0.036457,-0.053731,0.038740,9.243640,-3.612900,-7.534587,-0.232781,-0.233017,0.257812
0.650000,-0.060006,-0.077210,0.064707,-0.037894,-0.055715,0.040066,9.342687,-3.682979,-7.577257,-0.235496,-0.234784,0.259668
0.660000,-0.061791,-0.079483,0.066669,-0.039342,-0.057742,0.041686,9.467749,-3.764609,-7.667655,-0.238962,-0.237679,0.266028
0.670000,-0.063598,-0.081784,0.068659,-0.040836,-0.059807,0.043288,9.600847,-3.848829,-7.743870,-0.242560,-0.240415,0.269730
0.680000,-0.065427,-0.084113,0.070675,-0.042297,-0.061912,0.045306,9.724868,-3.928975,-7.818349,-0.245911,-0.243056,0.273874
0.690000,-0.067279,-0.086469,0.072718,-0.043722,-0.063895,0.048128,9.871841,-4.021245,-7.874859,-0.249823,-0.245570,0.274119
0.700000,-0.069154,-0.088852,0.074788,-0.045116,-0.065968,0.050520,10.079431,-4.098063,-7.950068,-0.254312,-0.249574,0.266595
0.710000,-0.071050,-0.091263,0.076884,-0.046520,-0.068078,0.052995,10.278141,-4.206011,-8.018994,-0.259336,-0.252945,0.263638
0.720000,-0.072968,-0.093700,0.079007,-0.047946,-0.070165,0.055995,10.479864,-4.318855,-8.081836,-0.264481,-0.256220,0.260112
0.730000,-0.074909,-0.096163,0.081156,-0.049403,-0.072319,0.059866,10.703151,-4.419348,-8.141840,-0.269630,-0.259978,0.251609
0.740000,-0.076871,-0.098653,0.083331,-0.050797,-0.074486,0.063577,10.939763,-4.512166,-8.160338,-0.274674,-0.263345,0.234642
0.750000,-0.078854,-0.101169,0.085532,-0.052219,-0.076683,0.067548,11.195215,-4.631097,-8.185379,-0.280577,-0.266827,0.219546
0.760000,-0.080859,-0.103711,0.087759,-0.053672,-0.078753,0.070335,11.454304,-4.746786,-8.199979,-0.286405,-0.270279,0.202104
0.770000,-0.082886,-0.106278,0.090012,-0.055119,-0.080883,0.074981,11.704846,-4.856678,-8.301183,-0.292136,-0.275259,0.196762
